baseline,mechanism_profile,job_id,workload,seed,duration_source,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,cross_region_sram_bytes,shared_prefill_compute_ms_saved,shared_prefill_tokens_saved,private_prefill_tokens_computed,unique_shared_prefix_tokens_computed,logical_shared_prefix_tokens,prefix_compute_hit_rate,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,calibration_loaded,shared_prefix_ratio
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.0,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.0,debate,19,synthetic,131.6723856274653,10.863104,13.70777456686632,13.70777456686632,7.594606836009294,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000004,241.90359306986113,0.0042457600000105344,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007507863162121682,0.0013823382859098395,615.6439093397221,538714.4476207582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.25,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.25,debate,19,synthetic,118.71587202746527,9.672642559999996,13.70777456686632,13.707774566866322,8.423473482708758,5100273664.0,3909091328.0,0.23355263157894735,1.3047210300429184,3909091328.0,0.0,113.60763903999997,241.90359306986113,0.0042457600000105344,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,40.80828416000003,9216.0,29184.0,512.0,9728.0,0.9444444444444444,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0006126574487110039,0.0015332050950004384,574.835625179722,485685.37619931804,0.0,0.0,0.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.0,0.25
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.5,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.5,debate,19,synthetic,106.69656962746527,9.672642559999996,13.707774566866322,13.707774566866323,9.372372546667005,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,2717908992.0,0.0,75.61150463999999,241.90359306986107,0.0042457600000105344,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,78.80441856000002,18432.0,19456.0,1024.0,19456.0,0.9444444444444444,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.000453687061651806,0.0017059196981256673,536.839490779722,436492.309703318,0.0,0.0,0.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.0,0.5
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.75,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.75,debate,19,synthetic,95.61426818746529,9.672642559999996,13.70777456686632,13.70777456686632,10.45869009883921,5100273664.0,1526726656.0,0.700657894736842,3.340659340659341,1526726656.0,0.0,40.42752000000003,241.90359306986113,0.004245760000006982,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,113.98840320000001,27648.0,9728.0,1536.0,29184.0,0.9444444444444444,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.00027069071904265303,0.001903646634548958,501.6555061397221,391134.38698971807,0.0,0.0,0.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.0,0.75
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.9,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.9,debate,19,synthetic,89.41812830746528,9.672642559999996,13.707774566866325,13.707774566866327,11.18341458190098,5100273664.0,812646400.0,0.8406661184210527,6.276129032258065,812646400.0,0.0,20.68296803999999,241.90359306986113,0.004245760000006982,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,133.73295516,33173.0,3896.0,1843.0,35016.0,0.9444444444444444,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.00014808335875513955,0.0020355579265097833,481.91095417972207,365774.7425931981,0.0,0.0,0.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.0,0.9
