baseline,mechanism_profile,job_id,workload,seed,duration_source,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,cross_region_sram_bytes,shared_prefill_compute_ms_saved,shared_prefill_tokens_saved,private_prefill_tokens_computed,unique_shared_prefix_tokens_computed,logical_shared_prefix_tokens,prefix_compute_hit_rate,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,calibration_loaded,tool_latency_mean_ms
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_0,tool_pause_resume_loop,19,synthetic,728.898112528065,13.707774566866306,13.881753600000025,13.881753600000025,1.3719338585356766,6442450944.0,6442450944.0,0.0,1.0,6442450944.0,0.0,280.87877632000016,312.8606404710588,1993.2085321600011,0.0404918225408,0.0404918225408,0.0,88.58370048000003,4429185024.0,0.0,0.0,0.0,48640.0,0.0,0.0,0.0,99656721664.0,2622545306.9473686,4429187072.0,1.6888886763049118,0.0,1993.2234332800067,0.00015683642791106098,0.000514313378182722,895.3104572621178,2984671.358457692,0.0,17.0,4429185024.0,0.0,0.0,0.0,0.0,0.0,0.0,0
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_0,tool_pause_resume_loop,19,synthetic,167.88907860806432,3.860398080000003,13.70777456686632,13.707774566866325,5.956313586868219,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,3388997632.0,0.0,93.2528128,312.86064047105896,24.928784960000115,0.0208096315392,0.0208096315392,0.0,0.0,0.0,138412032.0,99.04226304000001,23296.0,24320.0,1024.0,24320.0,0.9565217391304348,1245766656.0,59322221.71428572,138416128.0,2.3332930561275194,0.0028252800000529987,24.93515840000005,0.00036931050258930765,0.0014119397258479222,707.6844937421178,686965.9814848894,0.0,0.0,0.0,0.0,0.9130434782608695,22.0,2214592512.0,0.0,0.0,0
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_100,tool_pause_resume_loop,19,synthetic,1128.8981125280661,13.88175359999991,100.0,100.00000000000001,0.8858195340238364,6442450944.0,6442450944.0,0.0,1.0,6442450944.0,0.0,280.8787763199998,312.86064047105936,1993.2085321600084,0.0404918225408,0.0404918225408,1600.0,88.58370048000003,4429185024.0,0.0,0.0,0.0,48640.0,0.0,0.0,0.0,99656721664.0,2622545306.9473686,4429187072.0,1.6888886763049118,0.0,1993.2234332800067,0.0001012649193150052,0.0003320778433811039,895.3104572621178,4623071.358457697,0.0,17.0,4429185024.0,0.0,0.0,0.0,0.0,0.0,0.0,100
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_100,tool_pause_resume_loop,19,synthetic,567.8890786080644,13.707774566866306,100.0,100.0,1.7609072575423874,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,3388997632.0,0.0,93.25281279999979,312.86064047105884,24.928784960000428,0.0208096315392,0.0208096315392,1600.0,0.0,0.0,138412032.0,99.04226304000001,23296.0,24320.0,1024.0,24320.0,0.9565217391304348,1245766656.0,59322221.71428572,138416128.0,2.3332930561275194,0.002825280000138264,24.935158400000134,0.00010918188487085217,0.00041742176166471596,707.6844937421178,2325365.98148489,0.0,0.0,0.0,0.0,0.9130434782608695,22.0,2214592512.0,0.0,0.0,100
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_1000,tool_pause_resume_loop,19,synthetic,4728.898112528066,13.881753599999684,1000.0,1000.0000000000001,0.21146575295220318,6442450944.0,6442450944.0,0.0,1.0,6442450944.0,0.0,280.87877631999936,312.8606404710601,1993.208532160005,0.0404918225408,0.0404918225408,16000.0,88.58370048000003,4429185024.0,0.0,0.0,0.0,48640.0,0.0,0.0,0.0,99656721664.0,2622545306.9473686,4429187072.0,1.6888886763049118,0.0,1993.2234332800067,2.4174294636875156e-05,7.927471509951972e-05,895.3104572621178,19368671.358457696,0.0,17.0,4429185024.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_1000,tool_pause_resume_loop,19,synthetic,4167.889078608067,13.707774566866192,1000.0,1000.0,0.2399296097231949,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,3388997632.0,0.0,93.2528127999991,312.8606404710601,24.928784959997756,0.0208096315392,0.0208096315392,16000.0,0.0,0.0,138412032.0,99.04226304000001,23296.0,24320.0,1024.0,24320.0,0.9565217391304348,1245766656.0,59322221.71428572,138416128.0,2.3332930561275194,0.002825279999342456,24.935158399999338,1.48764035775892e-05,5.687513634645406e-05,707.6844937421178,17070965.9814849,0.0,0.0,0.0,0.0,0.9130434782608695,22.0,2214592512.0,0.0,0.0,1000
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_5000,tool_pause_resume_loop,19,synthetic,20728.898112528015,13.881753599998774,5000.0,5000.0,0.04824183102118803,6442450944.0,6442450944.0,0.0,1.0,6442450944.0,0.0,280.87877632000027,312.86064047105555,1993.2085321598372,0.0404918225408,0.0404918225408,80000.0,88.58370048000003,4429185024.0,0.0,0.0,0.0,48640.0,0.0,0.0,0.0,99656721664.0,2622545306.9473686,4429187072.0,1.6888886763049118,0.0,1993.2234332800067,5.514898846018523e-06,1.8084996538178253e-05,895.3104572621178,84904671.35845749,0.0,17.0,4429185024.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_5000,tool_pause_resume_loop,19,synthetic,20167.88907860805,13.70777456686632,5000.0,5000.000000000001,0.049583771315992294,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,3388997632.0,0.0,93.25281279999638,312.86064047105555,24.928784959964105,0.0208096315392,0.0208096315392,80000.0,0.0,0.0,138412032.0,99.04226304000001,23296.0,24320.0,1024.0,24320.0,0.9565217391304348,1245766656.0,59322221.71428572,138416128.0,2.3332930561275194,0.00282527998660953,24.935158399986605,3.074352489659734e-06,1.1753796279758762e-05,707.6844937421178,82606965.98148483,0.0,0.0,0.0,0.0,0.9130434782608695,22.0,2214592512.0,0.0,0.0,5000
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_20000,tool_pause_resume_loop,19,synthetic,80728.89811252816,13.881753599998774,20000.0,20000.000000000004,0.012387137981322354,6442450944.0,6442450944.0,0.0,1.0,6442450944.0,0.0,280.87877631997844,312.86064047103736,1993.2085321604375,0.0404918225408,0.0404918225408,320000.0,88.58370048000003,4429185024.0,0.0,0.0,0.0,48640.0,0.0,0.0,0.0,99656721664.0,2622545306.9473686,4429187072.0,1.6888886763049118,0.0,1993.2234332800067,1.416070068498501e-06,4.643715687569154e-06,895.3104572621178,330664671.35845804,0.0,17.0,4429185024.0,0.0,0.0,0.0,0.0,0.0,0.0,20000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_20000,tool_pause_resume_loop,19,synthetic,80167.889078608,13.707774566864828,20000.0,20000.0,0.012473822268407963,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,3388997632.0,0.0,93.25281280002184,312.86064047103736,24.928784960058692,0.0208096315392,0.0208096315392,320000.0,0.0,0.0,138412032.0,99.04226304000001,23296.0,24320.0,1024.0,24320.0,0.9565217391304348,1245766656.0,59322221.71428572,138416128.0,2.3332930561275194,0.0028252800439076964,24.935158400043903,7.734168968725527e-07,2.9569103333916377e-06,707.6844937421178,328366965.98148465,0.0,0.0,0.0,0.0,0.9130434782608695,22.0,2214592512.0,0.0,0.0,20000
